min_samples_split,max_depth,time_taken,memory_used,accuracy,precision,recall,f1_score
2,10,0.019983768463134766,0.296875,0.9,1.0,1.0,1.0
2,10,0.019983768463134766,0.296875,0.9,0.8571428571428571,0.75,0.8
2,10,0.019983768463134766,0.296875,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.019983768463134766,0.296875,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.019983768463134766,0.296875,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007399082183837891,0.0,0.9,1.0,1.0,1.0
2,10,0.007399082183837891,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007399082183837891,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007399082183837891,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007399082183837891,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.0070858001708984375,0.0,0.9,1.0,1.0,1.0
2,10,0.0070858001708984375,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.0070858001708984375,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.0070858001708984375,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.0070858001708984375,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007419109344482422,0.0,0.9,1.0,1.0,1.0
2,10,0.007419109344482422,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007419109344482422,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007419109344482422,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007419109344482422,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.06142711639404297,0.0,0.9,1.0,1.0,1.0
2,10,0.06142711639404297,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.06142711639404297,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.06142711639404297,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.06142711639404297,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.008449792861938477,0.00390625,0.9,1.0,1.0,1.0
2,10,0.008449792861938477,0.00390625,0.9,0.8571428571428571,0.75,0.8
2,10,0.008449792861938477,0.00390625,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.008449792861938477,0.00390625,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.008449792861938477,0.00390625,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007149219512939453,0.00390625,0.9,1.0,1.0,1.0
2,10,0.007149219512939453,0.00390625,0.9,0.8571428571428571,0.75,0.8
2,10,0.007149219512939453,0.00390625,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007149219512939453,0.00390625,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007149219512939453,0.00390625,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007399797439575195,0.0,0.9,1.0,1.0,1.0
2,10,0.007399797439575195,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007399797439575195,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007399797439575195,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007399797439575195,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007230043411254883,0.0,0.9,1.0,1.0,1.0
2,10,0.007230043411254883,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007230043411254883,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007230043411254883,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007230043411254883,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.006928205490112305,0.0,0.9,1.0,1.0,1.0
2,10,0.006928205490112305,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.006928205490112305,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.006928205490112305,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.006928205490112305,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.006598711013793945,0.0,0.9,1.0,1.0,1.0
2,10,0.006598711013793945,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.006598711013793945,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.006598711013793945,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.006598711013793945,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.0069119930267333984,0.00390625,0.9,1.0,1.0,1.0
2,10,0.0069119930267333984,0.00390625,0.9,0.8571428571428571,0.75,0.8
2,10,0.0069119930267333984,0.00390625,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.0069119930267333984,0.00390625,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.0069119930267333984,0.00390625,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007417917251586914,0.0,0.9,1.0,1.0,1.0
2,10,0.007417917251586914,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007417917251586914,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007417917251586914,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007417917251586914,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007096767425537109,0.0,0.9,1.0,1.0,1.0
2,10,0.007096767425537109,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007096767425537109,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007096767425537109,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007096767425537109,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007651090621948242,0.0,0.9,1.0,1.0,1.0
2,10,0.007651090621948242,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007651090621948242,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007651090621948242,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007651090621948242,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.006402254104614258,0.0,0.9,1.0,1.0,1.0
2,10,0.006402254104614258,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.006402254104614258,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.006402254104614258,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.006402254104614258,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007365703582763672,0.0,0.9,1.0,1.0,1.0
2,10,0.007365703582763672,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007365703582763672,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007365703582763672,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007365703582763672,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.0074689388275146484,0.00390625,0.9,1.0,1.0,1.0
2,10,0.0074689388275146484,0.00390625,0.9,0.8571428571428571,0.75,0.8
2,10,0.0074689388275146484,0.00390625,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.0074689388275146484,0.00390625,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.0074689388275146484,0.00390625,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007136106491088867,0.0,0.9,1.0,1.0,1.0
2,10,0.007136106491088867,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007136106491088867,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007136106491088867,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007136106491088867,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007398128509521484,0.0,0.9,1.0,1.0,1.0
2,10,0.007398128509521484,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007398128509521484,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007398128509521484,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007398128509521484,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007226705551147461,0.0,0.9,1.0,1.0,1.0
2,10,0.007226705551147461,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007226705551147461,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007226705551147461,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007226705551147461,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.006582975387573242,0.0,0.9,1.0,1.0,1.0
2,10,0.006582975387573242,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.006582975387573242,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.006582975387573242,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.006582975387573242,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007100820541381836,0.0,0.9,1.0,1.0,1.0
2,10,0.007100820541381836,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007100820541381836,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007100820541381836,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007100820541381836,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007151126861572266,0.0,0.9,1.0,1.0,1.0
2,10,0.007151126861572266,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007151126861572266,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007151126861572266,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007151126861572266,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.006671905517578125,0.0,0.9,1.0,1.0,1.0
2,10,0.006671905517578125,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.006671905517578125,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.006671905517578125,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.006671905517578125,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.0076978206634521484,0.0,0.9,1.0,1.0,1.0
2,10,0.0076978206634521484,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.0076978206634521484,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.0076978206634521484,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.0076978206634521484,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.0070002079010009766,0.0,0.9,1.0,1.0,1.0
2,10,0.0070002079010009766,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.0070002079010009766,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.0070002079010009766,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.0070002079010009766,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007951021194458008,0.00390625,0.9,1.0,1.0,1.0
2,10,0.007951021194458008,0.00390625,0.9,0.8571428571428571,0.75,0.8
2,10,0.007951021194458008,0.00390625,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007951021194458008,0.00390625,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007951021194458008,0.00390625,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007918119430541992,0.0,0.9,1.0,1.0,1.0
2,10,0.007918119430541992,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007918119430541992,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007918119430541992,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007918119430541992,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.006715059280395508,0.0,0.9,1.0,1.0,1.0
2,10,0.006715059280395508,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.006715059280395508,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.006715059280395508,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.006715059280395508,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007287025451660156,0.0,0.9,1.0,1.0,1.0
2,10,0.007287025451660156,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007287025451660156,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007287025451660156,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007287025451660156,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007857799530029297,0.0,0.9,1.0,1.0,1.0
2,10,0.007857799530029297,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007857799530029297,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007857799530029297,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007857799530029297,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007539033889770508,0.0,0.9,1.0,1.0,1.0
2,10,0.007539033889770508,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007539033889770508,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007539033889770508,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007539033889770508,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.007156848907470703,0.0,0.9,1.0,1.0,1.0
2,10,0.007156848907470703,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.007156848907470703,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.007156848907470703,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.007156848907470703,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.00712275505065918,0.0,0.9,1.0,1.0,1.0
2,10,0.00712275505065918,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.00712275505065918,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.00712275505065918,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.00712275505065918,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.0070722103118896484,0.0,0.9,1.0,1.0,1.0
2,10,0.0070722103118896484,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.0070722103118896484,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.0070722103118896484,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.0070722103118896484,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.006494998931884766,0.0,0.9,1.0,1.0,1.0
2,10,0.006494998931884766,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.006494998931884766,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.006494998931884766,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.006494998931884766,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.006723880767822266,0.00390625,0.9,1.0,1.0,1.0
2,10,0.006723880767822266,0.00390625,0.9,0.8571428571428571,0.75,0.8
2,10,0.006723880767822266,0.00390625,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.006723880767822266,0.00390625,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.006723880767822266,0.00390625,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.0068132877349853516,0.0,0.9,1.0,1.0,1.0
2,10,0.0068132877349853516,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.0068132877349853516,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.0068132877349853516,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.0068132877349853516,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.006810188293457031,0.0,0.9,1.0,1.0,1.0
2,10,0.006810188293457031,0.0,0.9,0.8571428571428571,0.75,0.8
2,10,0.006810188293457031,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.006810188293457031,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.006810188293457031,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.006871223449707031,0.0,0.9,1.0,1.0,1.0
2,10,0.006871223449707031,0.0,0.9,0.8571428571428571,0.75,0.8
